	Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	MPP3KO_Cluster_18 MPP3KO_Cl18	Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	MPP3KO_Cluster_10 MPP3KO_Cl10	Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	Cluster_26 MPP3KO_Cl5,MPP3KO_Cl4,MPP4WT_Cl4	Cluster_39 MPP3KO_Cl20,MPP3WT_Cl9	MPP3KO_MA1536.1 MPP3KO_Cl17	MPP3KO_MA0506.1 MPP3KO_Cl14	Cluster_16 MPP3KO_Cl12,MPP4WT_Cl17	MPP3KO_MA0067.1 MPP3KO_Cl23	Cluster_12 MPP3KO_Cl7,MPP4WT_Cl21,MPP4WT_Cl20	MPP3KO_MA1616.1 MPP3KO_Cl3	Cluster_29 MPP3KO_Cl19,MPP4WT_Cl3	MPP3KO_Cluster_2 MPP3KO_Cl2	Cluster_4 MPP3WT_Cl14,MPP3WT_Cl3,MPP4KO_Cl1	Cluster_5 MPP3WT_Cl8,MPP4KO_Cl4	Cluster_22 MPP3WT_Cl1,MPP3WT_Cl2	MPP3WT_MA0739.1 MPP3WT_Cl7	Cluster_7 MPP3WT_Cl4,MPP4KO_Cl5,MPP4KO_Cl7(...)	MPP3WT_Cluster_5 MPP3WT_Cl5	MPP3WT_MA0513.1 MPP3WT_Cl6	MPP3WT_MA1581.1 MPP3WT_Cl10	MPP3WT_Cluster_11 MPP3WT_Cl11	Cluster_1 MPP4KO_Cl6,MPP4KO_Cl3	MPP4WT_Cluster_5 MPP4WT_Cl5	MPP4WT_MA0041.1 MPP4WT_Cl14	MPP4WT_MA0850.1 MPP4WT_Cl15	MPP4WT_MA0109.1 MPP4WT_Cl10	Cluster_18 MPP4WT_Cl19,MPP4WT_Cl18	MPP4WT_Cluster_11 MPP4WT_Cl11	MPP4WT_MA0676.1 MPP4WT_Cl8	MPP4WT_MA0687.1 MPP4WT_Cl1	MPP4WT_Cluster_16 MPP4WT_Cl16	MPP4WT_MA1585.1 MPP4WT_Cl2	MPP3KO_MA0079.4 MPP3KO_SP1
Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	0.0	-0.0037625141148245117	-0.019781558122978212	-0.014076751124566205	-0.0037625141148245117	-0.020386179501884462	-0.012198715942752165	-0.0009693614308107148	-0.06703153983679473	-0.014861267858108354	-0.013110336954418001	-0.009735209336095304	-0.005508421593152121	-0.0064613039218419785	-0.026201476502028333	-0.002844437605912679	-0.006461303921841979	-0.014773594335351798	-0.010232020542950667	-0.01136036445784637	-0.028883604922841883	-0.010517907740530368	-0.05844717158574957	-0.006394973333698762	-0.0523539430690819	-0.007212067216131906	-0.022220266287517564	-0.004567309217186737	-0.02378118185007669	-0.01843023837903211	-0.008945357862027025	-0.027454341459511814	-0.009735209336095304	-0.001914468046606274	-0.018869875046792616	-0.05793116029851878	-0.010736222964315596	-0.049824086931385694	-0.010736222964315595	-0.008819968622313457	-0.027742702900780746
Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	-0.0037625141148245117	0.0	-0.03983112780686758	-0.015625505714315858	-0.21283099721763524	-0.03275721465451277	-0.06318414898257253	-0.032471008501249135	-0.10942077646999195	-0.14197848839928345	-0.07522157802639559	-0.03414871259320685	-0.08806644620394138	-0.571549053351638	-0.012073060770038755	-0.19743693075174015	-0.023547071290272656	-0.14214178529850538	-0.13778033760048247	-0.059950335179770615	-0.2396865753542769	-0.32011613540741807	-0.3161797838041427	-0.18848445507664996	-0.6265884466064067	-0.16148385144401545	-0.20332805875994434	-0.3049095388920716	0.13360053478096373	-0.5813024354269701	-0.002844437605912679	-0.028876129371293392	-0.037858972197817184	-0.026599023588347516	-0.043969501740994246	-0.0725195534601504	-0.02179025001859308	-0.1092771960113191	-0.04413789113731576	-0.045791510005649745	-0.08487599249797846
Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	-0.019781558122978212	-0.03983112780686758	0.0	-0.01411922584022457	-0.03713047084121634	-0.017543859649122816	8.89303503659561	-0.023912680082587293	2.143853383870241	0.6276446331792729	5.783403252162692	6.203675887976886	1.6089961749030974	-0.06295556475604823	-0.009804100642225375	-0.014773594335351792	-0.03494386615242719	-0.045803728508475944	-0.04921899511415484	-0.04800768430444106	-0.07769165225441614	0.594166921249349	-0.2125411075771076	-0.0761445102266497	0.7090499524632657	-0.053478441012665676	-0.06663271976516794	-0.054759493660674306	-0.10693297952325245	0.3003305571329145	-0.023781181850076716	0.7545344311250152	-0.01578571881613195	-0.018366531429382254	-0.03456717347824684	-0.11126820022838305	-0.029060370265240974	-0.12194037378056981	-0.03519684969163045	-0.01825774926967501	1.1317379778812997
Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	-0.014076751124566205	-0.015625505714315858	-0.01411922584022457	0.0	-0.007274846988840993	-0.01065794505792351	-0.007274846988840993	-0.007274846988840993	-0.06795248955533256	-0.017241379310344862	-0.006461303921841981	-0.009961039252769763	-0.012528071547658729	-0.013110336954418001	-0.010736222964315593	-0.006394973333698759	-0.017708062189650722	-0.016515095467375868	-0.023138982148317958	-0.021187687839956903	-0.032549157330299984	-0.03037529611582501	-0.08687456395599699	-0.012351869865015196	-0.06482472338749563	-0.02059021981157156	-0.02188650197001305	-0.0196794219138981	-0.03243493757217374	-0.036801787173142114	-0.05965807421873946	-0.021039157129973143	-0.006461303921841976	-0.015514067361730399	-0.045182726320164235	-0.09445527440618823	-0.022888313411530872	-0.041041406485588745	-0.007345621009892268	-0.014861267858108361	-0.04931334721561188
MPP3KO_Cluster_18 MPP3KO_Cl18	-0.0037625141148245117	-0.21283099721763524	-0.03713047084121634	-0.007274846988840993	0.0	0.8631576419909567	20.424444838913086	-0.01588771104130071	22.17638192444582	-0.15820820004384206	8.971347353125413	1.7205755145089057	-0.04388817883530767	-0.016214091007769268	-0.009016424236956215	-0.04046668185347838	-0.006394973333698754	-0.09264643222718587	1.9581924659657457	-0.03835580616246245	-0.1777633974339869	-0.16821657138658244	2.16561404572037	-0.09392501824255538	-0.3324166476725941	-0.07595373701183966	-0.10043593951337264	-0.1767572038801677	-0.16433114711128308	0.03153042230831816	-0.005455438967626991	-0.02562816290784881	0.8258633274520626	-0.01671763017107856	-0.015887711041300726	-0.0696320426221819	-0.01578571881613198	-0.07630509958396105	-0.0313768770963079	-0.028524736463857486	-0.32682219830743064
Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	-0.020386179501884462	-0.03275721465451277	-0.017543859649122816	-0.01065794505792351	0.8631576419909567	0.0	-0.02403489746900088	-0.007345621009892266	-0.1343444918325409	-0.0769680629615756	-0.03214485136960805	-0.028524736463857496	-0.03034670871029786	-0.0530372129510581	-0.029716867478804615	-0.01907488085852864	-0.02943296625602706	-0.0325354302461246	-0.056076965943129074	-0.037601751670985714	-0.06812720902623982	-0.08385792619541918	1.0721202764893127	-0.04611215864647518	-0.17928177308667562	-0.051652539926331426	-0.07933908908497195	-0.07098143189838271	-0.08993513041248212	-0.13715679273984607	-0.015599676591848381	-0.10617829459438823	0.997304037014154	-0.0191857676645685	-0.06043999330374798	-0.11691901544316331	-0.04758712350987163	-0.10913107317592144	-0.024034897469000886	-0.020001681842894393	-0.09423729293227345
MPP3KO_Cluster_10 MPP3KO_Cl10	-0.012198715942752165	-0.06318414898257253	8.89303503659561	-0.007274846988840993	20.424444838913086	-0.02403489746900088	0.0	-0.014216218591409311	7.585274226185911	-0.09310048335365333	22.767682407222342	13.547321494412333	0.7742864431836656	-0.08995794218039846	-0.021187687839956903	-0.022888313411530872	-0.029060370265240974	0.7479106567389935	-0.0761468778003513	0.762235902667108	-0.12396122032857769	-0.0976255589455523	0.3115028248304086	-0.06539475984444919	-0.3071750497455371	0.4650936214495987	-0.09836847989581177	-0.09468585652535003	-0.1709470192024481	0.264295248238365	-0.020570230576128383	-0.02594064341683032	-0.020699486510877618	-0.022430516161696057	-0.04565487771464349	0.6213251460639442	-0.031124823672025625	-0.10622036921686799	-0.07304158178129129	0.7969943553418616	0.31725834139379705
Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	-0.0009693614308107148	-0.032471008501249135	-0.023912680082587293	-0.007274846988840993	-0.01588771104130071	-0.007345621009892266	-0.014216218591409311	0.0	-0.08182120496503802	0.7052358765606472	-0.007345621009892266	-0.021623960282896555	-0.026958294404583492	-0.04961176296377521	-0.0037127920740782703	-0.005569856997300516	-0.016717630171078572	-0.027742702900780746	-0.018511399239703165	-0.024708956868017024	-0.08818436889932346	-0.0798500863251874	-0.12959393896746738	-0.030346708710297866	0.39065285810700184	-0.027998454088259465	-0.060809506390759056	-0.05004355151635657	-0.05104243660943232	0.5115140053967364	-0.012824547022519813	-0.01609265753677592	-0.006461303921841977	-0.017543859649122813	-0.016334045568956783	-0.07270331008859318	-0.006461303921841977	-0.07166210466913879	-0.025628162907848803	-0.01082167869407055	0.5134908078192986
Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	-0.06703153983679473	-0.10942077646999195	2.143853383870241	-0.06795248955533256	22.17638192444582	-0.1343444918325409	7.585274226185911	-0.08182120496503802	0.0	-0.2464497772595532	9.469591660055132	6.329208873185548	-0.12287802268065809	-0.16925134295724048	-0.14563786693311168	-0.06949548397992752	-0.20292636183212007	0.10801003165301756	-0.1723616999961964	-0.2244420932382419	-0.2988024444395239	0.4639334063942322	-0.8989568961083332	0.2820580876970777	0.9934171666913275	-0.23319412843462903	-0.31529010601049373	-0.20344857215241416	-0.33866296804255497	1.2069715781835206	-0.11823299565367662	6.066564088542914	-0.09703174164792709	-0.10314298360736766	-0.12888755318147233	2.9618556473225617	-0.17300331301035735	-0.46976253922668487	-0.19339747516251043	-0.0996078508515105	0.19864977667974706
Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	-0.014861267858108354	-0.14197848839928345	0.6276446331792729	-0.017241379310344862	-0.15820820004384206	-0.0769680629615756	-0.09310048335365333	0.7052358765606472	-0.2464497772595532	0.0	0.5423818591885866	-0.09913748443157314	-0.10553662820811825	-0.2521474155132749	-0.03181623421223881	-0.07154905808428609	-0.04130363129996489	-0.19203237738371481	-0.12973321684022882	0.5642920240719794	2.300032173652365	-0.3719224735723604	-0.5196873414037856	-0.2551863747630315	1.286654042277368	-0.29191827894732136	0.14414719451114533	-0.30573802728175103	-0.6599892367384147	1.5034367586556536	-0.02198641094311998	0.738962228611911	-0.06459595789658344	-0.08508836379498005	-0.05204905151400763	-0.1362327912698969	-0.07170611920119799	-0.2821493745496135	-0.09260206318986415	-0.08053159702139429	2.092730963598004
Cluster_26 MPP3KO_Cl5,MPP3KO_Cl4,MPP4WT_Cl4	-0.013110336954418001	-0.07522157802639559	5.783403252162692	-0.006461303921841981	8.971347353125413	-0.03214485136960805	22.767682407222342	-0.007345621009892266	9.469591660055132	0.5423818591885866	0.0	0.8302930057343305	-0.056185951800992694	-0.11160195410103288	-0.006461303921841977	-0.03470146445055902	-0.020590219811571563	-0.08224356001861001	-0.06508079391539144	0.6635102992712305	0.5442928605733194	-0.1426705436068613	-0.22990248006976693	-0.09035777329299	-0.33141507668134373	-0.09457641152763425	-0.11202915953376043	-0.10210400303173829	-0.12217358573371913	0.22847353625210887	-0.005569856997300519	-0.040574426053915306	-0.028524736463857503	-0.01495441335274685	-0.03008188987225769	-0.07176461746380572	-0.02828386048563927	0.5977140436688335	-0.03330564766892796	-0.035604037758612386	-0.21680808151509454
Cluster_39 MPP3KO_Cl20,MPP3WT_Cl9	-0.009735209336095304	-0.03414871259320685	6.203675887976886	-0.009961039252769763	1.7205755145089057	-0.028524736463857496	13.547321494412333	-0.021623960282896555	6.329208873185548	-0.09913748443157314	0.8302930057343305	0.0	-0.043440765899616825	-0.04791997226516173	-0.0037625141148245117	-0.02000168184289439	-0.021289564249598148	1.4968129135803165	-0.029278444504237014	0.7856989554785725	-0.08637079962112675	-0.09594353497215129	-0.21449072781466305	-0.07012966392170525	-0.19733288608021202	-0.0861048665081173	-0.0930993058787794	-0.08553591761199991	-0.09610472115545465	-0.12978929929865587	-0.009095053593468733	-0.036366213008574885	-0.030988609171701022	-0.016717630171078572	-0.02879061040043657	1.3358162276315735	-0.03671142518438585	-0.13468006364820684	-0.04611215864647516	-0.03421541818060651	-0.12046253755212187
MPP3KO_MA1536.1 MPP3KO_Cl17	-0.005508421593152121	-0.08806644620394138	1.6089961749030974	-0.012528071547658729	-0.04388817883530767	-0.03034670871029786	0.7742864431836656	-0.026958294404583492	-0.12287802268065809	-0.10553662820811825	-0.056185951800992694	-0.043440765899616825	0.0	0.4429039843427058	-0.007345621009892268	-0.12247202053269976	-0.01568999752016686	-0.08068795459475986	-0.0715883372120437	-0.06459595789658353	-0.15104878705007446	0.3640575069278985	-0.29029924038559257	-0.07406826850330177	-0.03869409993185842	-0.10817419778066606	-0.14452348633410217	-0.11271647949652881	-0.16394130249814398	0.9128110746943559	-0.0064613039218419785	-0.018869875046792616	-0.03470146445055902	-0.02799845408825947	-0.03303838111942005	-0.07363191333627463	-0.03864139250604503	-0.1300224275600211	-0.0702778811279249	-0.033445957594731505	1.306238239927673
MPP3KO_MA0506.1 MPP3KO_Cl14	-0.0064613039218419785	-0.571549053351638	-0.06295556475604823	-0.013110336954418001	-0.016214091007769268	-0.0530372129510581	-0.08995794218039846	-0.04961176296377521	-0.16925134295724048	-0.2521474155132749	-0.11160195410103288	-0.04791997226516173	0.4429039843427058	0.0	-0.02070746905391998	-0.2606663127041204	-0.03132789583893673	-0.23918842210945698	-0.20404516600651926	-0.09469455584271562	-0.14223367519489297	0.3404613578264565	-0.5666536983316758	0.13803088875182684	9.709676647172426	-0.2420140029621471	-0.28520432540054846	-0.15597961864042165	-0.48016092358874735	-0.620028602229802	-0.007274846988840993	-0.04140942153352063	-0.08395531499607163	-0.03611729963284049	-0.05361924675806293	-0.12251924171942136	-0.03671142518438585	-0.17778821493118216	-0.07301445631742914	-0.10552410151607208	-0.6257231452129624
Cluster_16 MPP3KO_Cl12,MPP4WT_Cl17	-0.026201476502028333	-0.012073060770038755	-0.009804100642225375	-0.010736222964315593	-0.009016424236956215	-0.029716867478804615	-0.021187687839956903	-0.0037127920740782703	-0.14563786693311168	-0.03181623421223881	-0.006461303921841977	-0.0037625141148245117	-0.007345621009892268	-0.02070746905391998	0.0	-0.007345621009892268	-0.1453963920982631	-0.015599676591848388	-0.021975722985466826	-0.010821678694070557	-0.03002471996552075	-0.025152886949630426	-0.06298167561602212	-0.013787762247933974	-0.07275687503003721	-0.029973886692321008	-0.02805826831781524	-0.009095053593468728	-0.02605393622745178	-0.04295678253773802	-0.0995121314372176	-0.15646832318526321	-0.009961039252769763	-0.0028444376059126794	-0.03310299018093769	-0.20038115922051913	-0.021395888195568452	-0.06692526860486189	-0.013943859787551168	-0.012528071547658734	-0.03820706016897562
